	uvrA_7	uvrA_8
SRR2034333.104181-1/2	0.0	1.0
SRR2034333.104181-2/2	0.0	0.0
SRR2034333.104995-1/2	0.0	2.0
SRR2034333.104995-2/2	0.0	1.0
SRR2034333.108100-1/2	0.0	2.0
SRR2034333.108100-2/2	0.0	1.0
SRR2034333.113650-1/2	0.0	0.0
SRR2034333.113650-2/2	0.0	0.0
SRR2034333.116727-1/2	0.0	2.0
SRR2034333.116727-2/2	0.0	0.0
SRR2034333.118829-1/2	0.0	2.0
SRR2034333.118829-2/2	0.0	1.0
SRR2034333.123989-1/2	0.0	2.0
SRR2034333.123989-2/2	0.0	2.0
SRR2034333.131351-1/2	0.0	0.0
SRR2034333.131351-2/2	0.0	1.0
SRR2034333.13524-1/2	0.0	0.0
SRR2034333.13524-2/2	0.0	1.0
SRR2034333.141241-1/2	0.0	0.0
SRR2034333.141241-2/2	0.0	1.0
SRR2034333.144786-1/2	0.0	0.0
SRR2034333.144786-2/2	0.0	0.0
SRR2034333.146914-1/2	0.0	0.0
SRR2034333.146914-2/2	0.0	1.0
SRR2034333.147234-1/2	0.0	1.0
SRR2034333.147234-2/2	0.0	0.0
SRR2034333.162491-1/2	1.0	0.0
SRR2034333.162491-2/2	1.0	0.0
SRR2034333.167478-1/2	0.0	0.0
SRR2034333.167478-2/2	0.0	1.0
SRR2034333.169858-1/2	0.0	0.0
SRR2034333.169858-2/2	0.0	0.0
SRR2034333.171985-1/2	0.0	0.0
SRR2034333.171985-2/2	0.0	1.0
SRR2034333.173773-1/2	0.0	0.0
SRR2034333.173773-2/2	0.0	0.0
SRR2034333.185044-1/2	0.0	0.0
SRR2034333.185044-2/2	0.0	0.0
SRR2034333.186346-1/2	0.0	0.0
SRR2034333.186346-2/2	0.0	1.0
SRR2034333.193338-1/2	0.0	0.0
SRR2034333.193338-2/2	0.0	0.0
SRR2034333.195582-1/2	1.0	1.0
SRR2034333.195582-2/2	0.0	0.0
SRR2034333.198851-1/2	0.0	0.0
SRR2034333.198851-2/2	0.0	1.0
SRR2034333.199449-1/2	0.0	2.0
SRR2034333.199449-2/2	0.0	2.0
SRR2034333.201082-1/2	0.0	0.0
SRR2034333.201082-2/2	0.0	1.0
SRR2034333.208574-1/2	0.0	2.0
SRR2034333.208574-2/2	0.0	2.0
SRR2034333.208779-1/2	0.0	0.0
SRR2034333.208779-2/2	0.0	0.0
SRR2034333.212909-1/2	0.0	0.0
SRR2034333.212909-2/2	0.0	0.0
SRR2034333.214990-1/2	0.0	2.0
SRR2034333.214990-2/2	0.0	1.0
SRR2034333.237850-1/2	0.0	1.0
SRR2034333.237850-2/2	0.0	0.0
SRR2034333.243385-1/2	0.0	2.0
SRR2034333.243385-2/2	0.0	2.0
SRR2034333.246844-1/2	0.0	0.0
SRR2034333.246844-2/2	0.0	0.0
SRR2034333.247609-1/2	0.0	0.0
SRR2034333.247609-2/2	0.0	0.0
SRR2034333.258635-1/2	0.0	0.0
SRR2034333.258635-2/2	0.0	2.0
SRR2034333.261215-1/2	0.0	0.0
SRR2034333.261215-2/2	0.0	0.0
SRR2034333.261861-1/2	0.0	0.0
SRR2034333.261861-2/2	0.0	0.0
SRR2034333.26586-1/2	0.0	0.0
SRR2034333.26586-2/2	0.0	0.0
SRR2034333.268224-1/2	0.0	0.0
SRR2034333.268224-2/2	0.0	2.0
SRR2034333.31530-1/2	0.0	0.0
SRR2034333.31530-2/2	0.0	2.0
SRR2034333.32747-1/2	0.0	0.0
SRR2034333.32747-2/2	0.0	1.0
SRR2034333.39214-1/2	0.0	0.0
SRR2034333.39214-2/2	0.0	0.0
SRR2034333.43480-1/2	0.0	0.0
SRR2034333.43480-2/2	0.0	0.0
SRR2034333.44944-1/2	0.0	0.0
SRR2034333.44944-2/2	0.0	2.0
SRR2034333.49015-1/2	0.0	0.0
SRR2034333.49015-2/2	0.0	0.0
SRR2034333.54384-1/2	0.0	1.0
SRR2034333.54384-2/2	0.0	0.0
SRR2034333.56568-1/2	0.0	2.0
SRR2034333.56568-2/2	0.0	1.0
SRR2034333.68924-1/2	0.0	0.0
SRR2034333.68924-2/2	0.0	2.0
SRR2034333.72566-1/2	0.0	1.0
SRR2034333.72566-2/2	0.0	2.0
SRR2034333.74857-1/2	1.0	1.0
SRR2034333.74857-2/2	0.0	0.0
SRR2034333.78894-1/2	0.0	0.0
SRR2034333.78894-2/2	1.0	1.0
SRR2034333.82524-1/2	0.0	0.0
SRR2034333.82524-2/2	0.0	1.0
SRR2034333.82773-1/2	0.0	0.0
SRR2034333.82773-2/2	2.0	2.0
SRR2034333.86614-1/2	0.0	0.0
SRR2034333.86614-2/2	0.0	2.0
SRR2034333.89790-1/2	0.0	0.0
SRR2034333.89790-2/2	0.0	2.0
SRR2034333.9348-1/2	0.0	0.0
SRR2034333.9348-2/2	0.0	0.0
SRR2034333.93805-1/2	0.0	0.0
SRR2034333.93805-2/2	0.0	0.0
SRR2034333.94480-1/2	0.0	2.0
SRR2034333.94480-2/2	0.0	0.0
