	clpX_12
SRR2034334.10147-1/2	0.0
SRR2034334.10147-2/2	0.0
SRR2034334.102453-1/2	0.0
SRR2034334.102453-2/2	0.0
SRR2034334.104116-1/2	0.0
SRR2034334.104116-2/2	0.0
SRR2034334.104925-1/2	0.0
SRR2034334.104925-2/2	0.0
SRR2034334.105144-1/2	0.0
SRR2034334.105144-2/2	0.0
SRR2034334.105338-1/2	0.0
SRR2034334.105338-2/2	1.0
SRR2034334.109346-1/2	0.0
SRR2034334.109346-2/2	0.0
SRR2034334.110814-1/2	0.0
SRR2034334.110814-2/2	0.0
SRR2034334.114020-1/2	0.0
SRR2034334.114020-2/2	0.0
SRR2034334.115159-1/2	0.0
SRR2034334.115159-2/2	0.0
SRR2034334.120442-1/2	0.0
SRR2034334.120442-2/2	0.0
SRR2034334.120834-1/2	1.0
SRR2034334.120834-2/2	0.0
SRR2034334.122182-1/2	0.0
SRR2034334.122182-2/2	0.0
SRR2034334.123099-1/2	0.0
SRR2034334.123099-2/2	0.0
SRR2034334.126217-1/2	0.0
SRR2034334.126217-2/2	0.0
SRR2034334.127893-1/2	0.0
SRR2034334.127893-2/2	0.0
SRR2034334.135029-1/2	0.0
SRR2034334.135029-2/2	0.0
SRR2034334.148263-1/2	0.0
SRR2034334.148263-2/2	0.0
SRR2034334.149553-1/2	0.0
SRR2034334.149553-2/2	1.0
SRR2034334.149742-1/2	0.0
SRR2034334.149742-2/2	0.0
SRR2034334.158530-1/2	0.0
SRR2034334.158530-2/2	0.0
SRR2034334.158620-1/2	0.0
SRR2034334.158620-2/2	0.0
SRR2034334.166746-1/2	0.0
SRR2034334.166746-2/2	0.0
SRR2034334.176672-1/2	0.0
SRR2034334.176672-2/2	0.0
SRR2034334.176920-1/2	0.0
SRR2034334.176920-2/2	0.0
SRR2034334.178605-1/2	0.0
SRR2034334.178605-2/2	0.0
SRR2034334.186538-1/2	0.0
SRR2034334.186538-2/2	0.0
SRR2034334.187246-1/2	0.0
SRR2034334.187246-2/2	0.0
SRR2034334.188137-1/2	0.0
SRR2034334.188137-2/2	0.0
SRR2034334.193178-1/2	0.0
SRR2034334.193178-2/2	0.0
SRR2034334.195615-1/2	0.0
SRR2034334.195615-2/2	0.0
SRR2034334.197073-1/2	0.0
SRR2034334.197073-2/2	0.0
SRR2034334.199544-1/2	0.0
SRR2034334.199544-2/2	0.0
SRR2034334.199571-1/2	0.0
SRR2034334.199571-2/2	0.0
SRR2034334.20481-1/2	0.0
SRR2034334.20481-2/2	0.0
SRR2034334.20553-1/2	0.0
SRR2034334.20553-2/2	0.0
SRR2034334.211224-1/2	0.0
SRR2034334.211224-2/2	0.0
SRR2034334.215849-1/2	0.0
SRR2034334.215849-2/2	0.0
SRR2034334.218900-1/2	0.0
SRR2034334.218900-2/2	0.0
SRR2034334.222012-1/2	0.0
SRR2034334.222012-2/2	0.0
SRR2034334.222693-1/2	1.0
SRR2034334.222693-2/2	0.0
SRR2034334.222731-1/2	0.0
SRR2034334.222731-2/2	0.0
SRR2034334.22566-1/2	0.0
SRR2034334.22566-2/2	0.0
SRR2034334.227591-1/2	0.0
SRR2034334.227591-2/2	0.0
SRR2034334.227820-1/2	0.0
SRR2034334.227820-2/2	0.0
SRR2034334.22813-1/2	0.0
SRR2034334.22813-2/2	0.0
SRR2034334.234086-1/2	0.0
SRR2034334.234086-2/2	0.0
